timestamp,open,high,low,close,volume,oi,datetime,date,instrument_type,strike_price,instrument_key,trading_day,is_expired
2025-09-25T09:15:00+05:30,124.2,124.8,96.15,121.95,6588525,3582075,2025-09-25 09:15:00+05:30,2025-09-25,CE,25050,NSE_FO|60481|30-09-2025,2025-09-25,True
2025-09-25T09:15:00+05:30,81.0,102.0,79.7,80.6,9164400,4772850,2025-09-25 09:15:00+05:30,2025-09-25,PE,25050,NSE_FO|60482|30-09-2025,2025-09-25,True
2025-09-25T09:20:00+05:30,121.7,144.0,118.15,140.75,7307925,4234725,2025-09-25 09:20:00+05:30,2025-09-25,CE,25050,NSE_FO|60481|30-09-2025,2025-09-25,True
2025-09-25T09:20:00+05:30,80.8,82.5,68.35,68.75,5425125,5941575,2025-09-25 09:20:00+05:30,2025-09-25,PE,25050,NSE_FO|60482|30-09-2025,2025-09-25,True
2025-09-25T09:25:00+05:30,140.9,145.0,124.65,125.85,4054650,4325025,2025-09-25 09:25:00+05:30,2025-09-25,CE,25050,NSE_FO|60481|30-09-2025,2025-09-25,True
2025-09-25T09:25:00+05:30,68.75,76.9,67.05,76.85,4035975,6227550,2025-09-25 09:25:00+05:30,2025-09-25,PE,25050,NSE_FO|60482|30-09-2025,2025-09-25,True
2025-09-25T09:30:00+05:30,125.6,140.65,119.4,127.8,4699425,4733925,2025-09-25 09:30:00+05:30,2025-09-25,CE,25050,NSE_FO|60481|30-09-2025,2025-09-25,True
2025-09-25T09:30:00+05:30,76.65,82.45,68.15,74.85,6634650,6523725,2025-09-25 09:30:00+05:30,2025-09-25,PE,25050,NSE_FO|60482|30-09-2025,2025-09-25,True
2025-09-25T09:35:00+05:30,127.65,135.3,116.35,134.0,3621600,5169300,2025-09-25 09:35:00+05:30,2025-09-25,CE,25050,NSE_FO|60481|30-09-2025,2025-09-25,True
2025-09-25T09:35:00+05:30,75.0,81.7,69.7,70.2,4983375,6719175,2025-09-25 09:35:00+05:30,2025-09-25,PE,25050,NSE_FO|60482|30-09-2025,2025-09-25,True
2025-09-25T09:40:00+05:30,134.4,137.5,116.25,117.6,3034950,5018625,2025-09-25 09:40:00+05:30,2025-09-25,CE,25050,NSE_FO|60481|30-09-2025,2025-09-25,True
2025-09-25T09:40:00+05:30,70.05,81.2,68.35,80.8,4219050,6874425,2025-09-25 09:40:00+05:30,2025-09-25,PE,25050,NSE_FO|60482|30-09-2025,2025-09-25,True
2025-09-25T09:45:00+05:30,117.45,118.4,109.0,114.9,2911350,5399850,2025-09-25 09:45:00+05:30,2025-09-25,CE,25050,NSE_FO|60481|30-09-2025,2025-09-25,True
2025-09-25T09:45:00+05:30,80.85,88.0,79.6,82.15,7000500,6641775,2025-09-25 09:45:00+05:30,2025-09-25,PE,25050,NSE_FO|60482|30-09-2025,2025-09-25,True
2025-09-25T09:50:00+05:30,114.9,120.0,110.4,114.9,2598450,5881425,2025-09-25 09:50:00+05:30,2025-09-25,CE,25050,NSE_FO|60481|30-09-2025,2025-09-25,True
