timestamp,index_open,index_high,index_low,index_close,index_volume,index_oi
2024-09-26 09:15:00+05:30,26183.08,26189.628553088427,26175.51464350009,26183.08,1260886,36352428
2024-09-26 09:20:00+05:30,26183.19,26189.975340896137,26171.546710913095,26183.19,3185802,46033915
2024-09-26 09:25:00+05:30,26183.3,26189.856662507962,26169.315819363284,26183.3,4571476,43369269
2024-09-26 09:30:00+05:30,26183.41,26188.864778726915,26175.518538162272,26183.41,4887284,28556053
2024-09-26 09:35:00+05:30,26183.51,26192.380151594396,26170.728571402433,26183.51,1392833,24134789
2024-09-26 09:40:00+05:30,26183.61,26193.987197933093,26172.23824884013,26183.61,2646638,29665124
2024-09-26 09:45:00+05:30,26183.71,26192.61215131752,26171.61249960246,26183.71,2386609,33202303
2024-09-26 09:50:00+05:30,26183.8,26191.64418974438,26176.362292738213,26183.8,4380701,31628173
2024-09-26 09:55:00+05:30,26183.89,26190.791350344836,26174.57183719286,26183.89,1568428,10914313
2024-09-26 10:00:00+05:30,26183.98,26194.915846211883,26174.981083177547,26183.98,3532922,11432843
2024-09-26 10:05:00+05:30,26184.06,26191.835436902104,26172.682453978206,26184.06,1565312,49558600
2024-09-26 10:10:00+05:30,26184.14,26190.71692298723,26175.039000053453,26184.14,1532386,35537860
2024-09-26 10:15:00+05:30,26184.22,26198.654149291386,26176.430899388182,26184.22,3570989,26215037
2024-09-26 10:20:00+05:30,26184.29,26194.255428369146,26170.980277882154,26184.29,3452740,41982585
2024-09-26 10:25:00+05:30,26184.36,26197.142875885962,26169.372498004046,26184.36,2113658,48322164
2024-09-26 10:30:00+05:30,26184.42,26197.70480835036,26172.901772486537,26184.42,4648912,28980473
2024-09-26 10:35:00+05:30,26184.49,26191.198170259548,26173.758480467797,26184.49,4195747,20800038
2024-09-26 10:40:00+05:30,26184.54,26190.649044816073,26179.021320187327,26184.54,2458015,20103742
2024-09-26 10:45:00+05:30,26184.6,26197.13027709852,26176.003865303508,26184.6,4862442,17411131
2024-09-26 10:50:00+05:30,26184.65,26190.956660986594,26172.970114726777,26184.65,1077087,48116191
2024-09-26 10:55:00+05:30,26184.7,26196.173880293423,26179.282336046923,26184.7,3033589,18215702
2024-09-26 11:00:00+05:30,26184.74,26192.248823865735,26176.414048150025,26184.74,3389341,32894834
2024-09-26 11:05:00+05:30,26184.78,26194.82766134661,26173.654329428635,26184.78,4979622,42430712
2024-09-26 11:10:00+05:30,26184.82,26199.718241909566,26171.02795995212,26184.82,3085726,40591439
2024-09-26 11:15:00+05:30,26184.86,26194.536399419947,26179.710842250082,26184.86,1475524,18304837
2024-09-26 11:20:00+05:30,26184.89,26190.322790819777,26178.836134097135,26184.89,3182223,48413550
2024-09-26 11:25:00+05:30,26184.91,26199.46687014553,26176.510707552952,26184.91,1554116,43464968
2024-09-26 11:30:00+05:30,26184.94,26199.86204112594,26170.72746114144,26184.94,1049774,46024464
2024-09-26 11:35:00+05:30,26184.96,26191.348226224294,26171.43135489392,26184.96,2191677,39998903
2024-09-26 11:40:00+05:30,26184.97,26198.04607518851,26175.178860395597,26184.97,4650589,46068005
2024-09-26 11:45:00+05:30,26184.98,26192.77459389836,26170.075619398987,26184.98,3186058,37497860
2024-09-26 11:50:00+05:30,26184.99,26196.55635388576,26171.17812676299,26184.99,4257440,15257881
2024-09-26 11:55:00+05:30,26185.0,26190.89469760341,26171.798907826265,26185.0,4534146,47197058
2024-09-26 12:00:00+05:30,26185.0,26197.30420061717,26178.95748574409,26185.0,1767560,48636655
2024-09-26 12:05:00+05:30,26185.0,26197.73679960372,26179.830865675438,26185.0,1909017,32278655
2024-09-26 12:10:00+05:30,26184.99,26191.1498449737,26173.892568748844,26184.99,4011337,42968777
2024-09-26 12:15:00+05:30,26184.98,26192.33641333518,26173.21041005303,26184.98,1924669,20051828
2024-09-26 12:20:00+05:30,26184.97,26199.268587643317,26177.15873230897,26184.97,2902276,34808256
2024-09-26 12:25:00+05:30,26184.96,26198.844908865933,26171.08454752491,26184.96,4044353,42199309
2024-09-26 12:30:00+05:30,26184.94,26199.523731049198,26176.711224738,26184.94,4847628,25155101
2024-09-26 12:35:00+05:30,26184.91,26193.212173110365,26177.946534579067,26184.91,3354455,12962668
2024-09-26 12:40:00+05:30,26184.89,26194.16826281803,26170.034817309366,26184.89,2678153,14706244
2024-09-26 12:45:00+05:30,26184.86,26199.852643408492,26175.518996582796,26184.86,1520870,30334551
2024-09-26 12:50:00+05:30,26184.82,26192.632689977923,26175.638320611888,26184.82,4565778,18767911
2024-09-26 12:55:00+05:30,26184.78,26196.889967285508,26171.815035666426,26184.78,2418794,17783363
2024-09-26 13:00:00+05:30,26184.74,26194.43107261115,26172.271016095263,26184.74,3655686,35116675
2024-09-26 13:05:00+05:30,26184.7,26191.54578658671,26171.32843494746,26184.7,1123538,13128659
2024-09-26 13:10:00+05:30,26184.65,26199.36387852713,26171.785918909198,26184.65,1306814,45362223
2024-09-26 13:15:00+05:30,26184.6,26198.12510506161,26177.414381964605,26184.6,3627596,30329358
2024-09-26 13:20:00+05:30,26184.54,26195.12058273758,26177.95251542107,26184.54,1630021,32283079
2024-09-26 13:25:00+05:30,26184.49,26190.56635061316,26170.161501671304,26184.49,3762368,40927440
2024-09-26 13:30:00+05:30,26184.42,26191.493608463024,26170.943703690074,26184.42,2723823,21680535
2024-09-26 13:35:00+05:30,26184.36,26196.40200177783,26175.067397265357,26184.36,3867515,17984483
2024-09-26 13:40:00+05:30,26184.29,26193.033753791133,26174.71242298524,26184.29,4074265,36273902
2024-09-26 13:45:00+05:30,26184.22,26192.679099106277,26171.23714532456,26184.22,4582304,31767936
2024-09-26 13:50:00+05:30,26184.14,26195.048191356942,26176.25752435925,26184.14,3065850,39163331
2024-09-26 13:55:00+05:30,26184.06,26198.71889394107,26177.038743879457,26184.06,2502717,21201138
2024-09-26 14:00:00+05:30,26183.98,26194.96599050361,26171.451886385967,26183.98,3561123,26301765
2024-09-26 14:05:00+05:30,26183.89,26197.19738320607,26177.668548438192,26183.89,2535608,28614019
2024-09-26 14:10:00+05:30,26183.8,26191.63503090994,26174.585156420868,26183.8,4339985,13422544
2024-09-26 14:15:00+05:30,26183.71,26189.949053259577,26171.788173369747,26183.71,3010186,36269224
2024-09-26 14:20:00+05:30,26183.61,26192.440829401054,26178.49987944428,26183.61,3158314,19115850
