timestamp,open,high,low,close,volume,oi,datetime,date,instrument_type,strike_price,expiry_date,instrument_key,trading_day,is_expired
2025-10-17T09:15:00+05:30,86.05,89.0,63.1,71.7,19323075,10954200,2025-10-17 09:15:00+05:30,2025-10-17,CE,25600,2025-10-20,NSE_FO|45272|20-10-2025,2025-10-17,False
2025-10-17T09:15:00+05:30,113.6,118.25,100.0,104.5,12165150,7906200,2025-10-17 09:15:00+05:30,2025-10-17,PE,25600,2025-10-20,NSE_FO|45275|20-10-2025,2025-10-17,False
2025-10-17T09:20:00+05:30,71.7,75.0,64.9,69.8,13673775,13914750,2025-10-17 09:20:00+05:30,2025-10-17,CE,25600,2025-10-20,NSE_FO|45272|20-10-2025,2025-10-17,False
2025-10-17T09:20:00+05:30,104.25,112.0,99.1,103.5,9070200,9264750,2025-10-17 09:20:00+05:30,2025-10-17,PE,25600,2025-10-20,NSE_FO|45275|20-10-2025,2025-10-17,False
2025-10-17T09:25:00+05:30,69.95,103.95,67.4,101.5,31240575,15210150,2025-10-17 09:25:00+05:30,2025-10-17,CE,25600,2025-10-20,NSE_FO|45272|20-10-2025,2025-10-17,False
2025-10-17T09:25:00+05:30,103.45,107.15,80.0,80.3,12470775,11220225,2025-10-17 09:25:00+05:30,2025-10-17,PE,25600,2025-10-20,NSE_FO|45275|20-10-2025,2025-10-17,False
2025-10-17T09:30:00+05:30,101.5,107.65,97.2,106.1,20032125,15831900,2025-10-17 09:30:00+05:30,2025-10-17,CE,25600,2025-10-20,NSE_FO|45272|20-10-2025,2025-10-17,False
2025-10-17T09:30:00+05:30,80.35,84.25,73.6,75.05,11294775,12880350,2025-10-17 09:30:00+05:30,2025-10-17,PE,25600,2025-10-20,NSE_FO|45275|20-10-2025,2025-10-17,False
2025-10-17T09:35:00+05:30,106.35,113.25,101.8,111.4,15973125,15455400,2025-10-17 09:35:00+05:30,2025-10-17,CE,25600,2025-10-20,NSE_FO|45272|20-10-2025,2025-10-17,False
2025-10-17T09:35:00+05:30,75.0,79.8,71.7,73.55,7246800,14003025,2025-10-17 09:35:00+05:30,2025-10-17,PE,25600,2025-10-20,NSE_FO|45275|20-10-2025,2025-10-17,False
2025-10-17T09:40:00+05:30,111.4,114.95,105.0,112.3,11230275,15250275,2025-10-17 09:40:00+05:30,2025-10-17,CE,25600,2025-10-20,NSE_FO|45272|20-10-2025,2025-10-17,False
